Id,Title,Type,Release_year,Runtime,Genres
tm68833,Gamera vs. Barugon,MOVIE,1966,106,horror
tm128293,Hennessy,MOVIE,1975,103,thriller
tm19180,Riders to the Stars,MOVIE,1954,81,drama
tm94688,"Daniel Boone, Trail Blazer",MOVIE,1956,74,drama
tm189154,Alabama's Ghost,MOVIE,1973,96,horror
tm88168,Iphigenia,MOVIE,1977,127,action
tm88867,Sisters of Death,MOVIE,1976,87,horror
tm111174,Get Christie Love!,MOVIE,1974,74,thriller
tm15097,The Lucifer Complex,MOVIE,1978,91,scifi
tm72827,Finders Keepers,MOVIE,1966,94,comedy
tm24763,Call Me Bwana,MOVIE,1963,102,comedy
tm14076,The Beast of the Yellow Night,MOVIE,1971,87,horror
tm188814,The Creeping Flesh,MOVIE,1973,92,scifi
tm99512,The Over-the-Hill Gang Rides Again,MOVIE,1970,75,western
tm11515,Trishna,MOVIE,1978,127,drama
tm122106,Winterhawk,MOVIE,1975,98,western
tm74336,Human Experiments,MOVIE,1979,82,horror
tm156833,The Glass House,MOVIE,1972,90,drama
tm127212,Hustling,MOVIE,1975,98,drama
tm104977,"Guru, the Mad Monk",MOVIE,1970,62,horror
tm99598,Carter's Army,MOVIE,1970,73,war
tm81044,Sam's Song,MOVIE,1969,92,drama
tm123458,The Pied Piper of Hamelin,MOVIE,1957,89,fantasy
tm374784,Une Infinie Tendresse,MOVIE,1968,92,
tm513,A Life at Stake,MOVIE,1955,78,drama
tm76860,Sinful Davey,MOVIE,1969,95,crime
tm18025,Maybe I'll Come Home in the Spring,MOVIE,1971,74,drama
tm1214,...And Your Name Is Jonah,MOVIE,1979,100,drama
tm111592,Huckleberry Finn,MOVIE,1974,118,family
tm130217,Father's Little Dividend,MOVIE,1951,82,romance
tm87340,How to Stuff a Wild Bikini,MOVIE,1965,93,romance
tm109609,Beneath the 12-Mile Reef,MOVIE,1953,102,drama
tm81396,Operation Atlantis,MOVIE,1965,100,crime
tm70041,"Boy, Did I Get a Wrong Number!",MOVIE,1966,99,comedy
ts47033,The New 3 Stooges,SHOW,1965,19,comedy
tm12630,Hands of a Stranger,MOVIE,1962,85,horror
tm186229,Moonfire,MOVIE,1973,107,action
tm110772,"The Phantom from 10,000 Leagues",MOVIE,1955,80,scifi
tm91265,Curse of the Black Widow,MOVIE,1977,100,crime
tm161219,The People,MOVIE,1972,74,scifi
tm185817,Bikini Beach,MOVIE,1964,99,romance
tm121993,Thunder Alley,MOVIE,1967,90,drama
tm136181,The Wild Women of Wongo,MOVIE,1958,71,fantasy
tm107934,Never Wave at a WAC,MOVIE,1953,87,romance
tm69573,Supersonic Man,MOVIE,1980,88,action
tm92806,"Exit the Dragon, Enter the Tiger",MOVIE,1976,79,action
tm20385,Jail Bait,MOVIE,1954,74,thriller
tm105139,Return to Paradise,MOVIE,1953,100,drama
tm23799,The Mouse on the Moon,MOVIE,1963,85,drama
tm114459,Borsalino and Co.,MOVIE,1974,110,crime
tm72750,The Fat Spy,MOVIE,1966,80,comedy
tm99581,The Body Beneath,MOVIE,1970,82,horror
tm75039,Disaster on the Coastliner,MOVIE,1979,89,drama
tm120545,In the Year 2889,MOVIE,1967,80,scifi
tm92205,The Intimate Stranger,MOVIE,1956,84,drama
tm58262,Outlaw Women,MOVIE,1952,75,western
tm100776,Pray TV,MOVIE,1980,86,comedy
tm84126,Family Enforcer,MOVIE,1976,85,crime
tm18646,Crash of Moons,MOVIE,1954,78,scifi
tm16588,"High, Wild and Free",MOVIE,1968,105,documentation
tm80035,The Over-the-Hill Gang,MOVIE,1969,75,western
tm12458,Preacherman,MOVIE,1971,87,comedy
tm264233,Abbott and Costello Christmas Show,MOVIE,1952,59,comedy
tm95384,Below the Belt,MOVIE,1980,91,drama
tm53557,By Love Possessed,MOVIE,1961,115,drama
tm91890,Street People,MOVIE,1976,101,drama
tm80754,I'll Take Sweden,MOVIE,1965,97,romance
tm43387,The Wonderful Country,MOVIE,1959,98,western
tm32153,The Slime People,MOVIE,1963,76,horror
tm107399,Shotgun,MOVIE,1955,80,western
tm137806,Drums in the Deep South,MOVIE,1951,87,western
tm104700,"Pussycat, Pussycat, I Love You",MOVIE,1970,100,comedy
tm121430,The James Dean Story,MOVIE,1957,81,documentation
tm134053,I Want You,MOVIE,1951,102,drama
tm71869,Gamera vs. Guiron,MOVIE,1969,82,scifi
tm15779,The First Time,MOVIE,1969,90,comedy
tm42829,Devil's Partner,MOVIE,1961,73,horror
tm14893,Gay USA,MOVIE,1977,78,documentation
tm121177,Eight on the Lam,MOVIE,1967,107,comedy
tm19286,Nizhal Nijamagirathu,MOVIE,1978,139,drama
tm119847,Mars Needs Women,MOVIE,1968,83,scifi
tm18988,Carnival Story,MOVIE,1954,95,drama
tm11919,Record City,MOVIE,1978,92,comedy
tm47612,The Pusher,MOVIE,1960,81,drama
tm76209,Popi,MOVIE,1969,113,drama
tm95042,Foreign Intrigue,MOVIE,1956,95,thriller
tm14543,Cry Uncle!,MOVIE,1971,87,comedy
tm106324,Malta Story,MOVIE,1953,97,drama
tm120446,Fearless Frank,MOVIE,1967,83,fantasy
tm70928,A Bullet for Sandoval,MOVIE,1969,105,western
tm69415,Kid with the Golden Arm,MOVIE,1979,86,action
tm12518,Beauty and the Beast,MOVIE,1962,77,horror
tm99066,The Billion Dollar Hobo,MOVIE,1977,96,comedy
tm12526,I Eat Your Skin,MOVIE,1971,84,horror
tm185385,The Gatling Gun,MOVIE,1971,93,western
tm90881,Stunts,MOVIE,1977,89,thriller
tm89413,The River Niger,MOVIE,1976,105,drama
tm124419,Against a Crooked Sky,MOVIE,1975,89,western
tm42278,Take a Giant Step,MOVIE,1959,100,drama
tm20649,The Purple Plain,MOVIE,1954,98,drama
tm120896,The Zoo,MOVIE,1967,125,action
ts9584,The Californians,SHOW,1957,30,western
tm91269,The Astral Factor,MOVIE,1976,96,horror
tm188940,Flight from Ashiya,MOVIE,1964,100,romance
tm94203,The Ambassador's Daughter,MOVIE,1956,103,comedy
tm88102,Voyage to the Prehistoric Planet,MOVIE,1965,78,fantasy
tm262802,Games of Desire,MOVIE,1964,90,drama
tm94865,Gamera: Super Monster,MOVIE,1980,92,scifi
tm129432,Gun Fever,MOVIE,1958,83,western
tm16045,The Manster,MOVIE,1959,72,horror
tm15229,High-Ballin',MOVIE,1978,97,thriller
tm60952,I Dream of Jeanie,MOVIE,1952,89,drama
tm120194,Gunsight Ridge,MOVIE,1957,85,action
tm231207,Seed of Innocence,MOVIE,1980,91,drama
tm121735,The White Bus,MOVIE,1967,46,drama
tm123468,Pharaoh's Curse,MOVIE,1957,66,horror
tm40529,The Alphabet Conspiracy,MOVIE,1959,60,animation
tm107558,No. 1 of the Secret Service,MOVIE,1978,91,comedy
tm451193,Steel Arena,MOVIE,1973,98,action
tm10744,The Expedition,MOVIE,1962,129,drama
tm59652,Battle of Blood Island,MOVIE,1960,64,drama
tm7738,The Bloody Vampire,MOVIE,1962,110,horror
tm127363,Mitzi & 100 Guys,MOVIE,1975,52,comedy
tm51592,Goliath and the Dragon,MOVIE,1960,87,fantasy
tm14573,The Wicked Dreams of Paula Schultz,MOVIE,1968,113,comedy
tm58407,The Tell-Tale Heart,MOVIE,1960,78,thriller
tm92768,Mohawk,MOVIE,1956,79,western
tm198908,The Revolutionary,MOVIE,1970,100,drama
tm92052,Run for the Sun,MOVIE,1956,99,thriller
tm132638,Tarzan and the Trappers,MOVIE,1958,70,action
tm81069,Scream Baby Scream,MOVIE,1969,83,horror
tm191018,The Mansion of Madness,MOVIE,1973,99,horror
tm94934,"Those Lips, Those Eyes",MOVIE,1980,105,romance
tm123006,Katherine,MOVIE,1975,97,drama
tm18896,New Faces,MOVIE,1954,98,comedy
tm114461,The Black Godfather,MOVIE,1974,90,crime
tm106323,The Magnetic Monster,MOVIE,1953,76,scifi
tm140326,Cause for Alarm!,MOVIE,1951,74,drama
tm110147,The Second Coming of Suzanne,MOVIE,1974,90,drama
tm70852,Kaala Patthar,MOVIE,1979,176,drama
tm71932,Starblack,MOVIE,1966,93,western
tm11602,Leo the Last,MOVIE,1970,104,drama
tm75027,Alice of Wonderland in Paris,MOVIE,1966,52,fantasy
tm133621,The Mark of the Hawk,MOVIE,1957,83,drama
tm19219,Girl Gang,MOVIE,1954,63,thriller
tm96267,Shaan,MOVIE,1980,181,thriller
tm13017,Haseena Maan Jaayegi,MOVIE,1968,165,drama
tm473632,The New Daughters of Joshua Cabe,MOVIE,1976,80,western
tm133409,The Painted Hills,MOVIE,1951,68,drama
tm108158,Winning of the West,MOVIE,1953,57,western
tm13572,Curse of Bigfoot,MOVIE,1978,88,horror
tm122535,Gamera vs. Gyaos,MOVIE,1967,86,action
tm123616,The Day That Shook the World,MOVIE,1975,130,drama
tm243519,Winner Take All,MOVIE,1975,96,drama
ts41173,Tattletales,SHOW,1974,30,comedy
tm16887,Beachhead,MOVIE,1954,90,war
tm122687,Valerie,MOVIE,1957,82,western
tm72063,Some Kind of a Nut,MOVIE,1969,89,comedy
tm126216,Aaron Loves Angela,MOVIE,1975,99,romance
tm187489,Giants of Rome,MOVIE,1964,95,drama
tm98558,SST: Death Flight,MOVIE,1977,89,thriller
tm39546,The Great St. Louis Bank Robbery,MOVIE,1959,89,thriller
tm70242,War Italian Style,MOVIE,1966,84,comedy
tm106016,Santa and the Three Bears,MOVIE,1970,46,fantasy
tm101730,Up in the Cellar,MOVIE,1970,94,comedy
tm13836,The Jesus Trip,MOVIE,1971,84,drama
tm155212,"Superbug, Super Agent",MOVIE,1972,91,comedy
tm20156,Jesse James' Women,MOVIE,1954,83,western
tm85235,Karate Warriors,MOVIE,1976,89,drama
tm63801,"Namu, the Killer Whale",MOVIE,1966,89,drama
tm190579,Little Cigars,MOVIE,1973,92,thriller
tm187748,For Those Who Think Young,MOVIE,1964,96,romance
tm197111,Paper Man,MOVIE,1971,75,scifi
tm94651,Dostana,MOVIE,1980,161,drama
tm130012,Cafè Express,MOVIE,1980,100,comedy
tm69949,The Battle of the Eagles,MOVIE,1979,130,war
tm106772,May Morning,MOVIE,1970,101,thriller
tm43312,Sign of the Gladiator,MOVIE,1959,98,drama
tm93850,"Bruce Lee: The Man, The Myth",MOVIE,1976,90,action
tm87893,Murder in Mississippi,MOVIE,1965,83,drama
tm2611,40 Carats,MOVIE,1973,110,romance
tm85338,Kabhi Kabhie,MOVIE,1976,177,drama
tm129311,The Bride & The Beast,MOVIE,1958,78,horror
tm61696,The Green Glove,MOVIE,1952,89,romance
tm158003,Garden of the Dead,MOVIE,1972,58,horror
tm76997,Champion Joe,MOVIE,1979,153,
tm17300,Galatta Kalyanam,MOVIE,1968,148,comedy
tm9187,"Congratulations, It's a Boy!",MOVIE,1971,73,comedy
tm118599,The Big Caper,MOVIE,1957,84,thriller
tm52490,Revolt of the Slaves,MOVIE,1960,102,action
tm77161,Love Is a Funny Thing,MOVIE,1969,115,drama
tm107469,Fort Yuma,MOVIE,1955,78,western
tm335724,Sawan Ko Aane Do,MOVIE,1979,152,drama
tm20816,Return to Treasure Island,MOVIE,1954,75,action
tm140602,Chained for Life,MOVIE,1952,81,drama
tm81432,Creature of the Walking Dead,MOVIE,1965,72,scifi
tm120091,Ride Out for Revenge,MOVIE,1957,78,western
tm119994,Monster from Green Hell,MOVIE,1957,71,scifi
tm109986,Yellowneck,MOVIE,1955,83,drama
tm416010,Dangerous Afternoon,MOVIE,1961,59,drama
tm71580,Of Cooks and Kung Fu,MOVIE,1979,90,action
tm86340,The Wackiest Wagon Train In The West,MOVIE,1976,86,western
tm134878,Home Town Story,MOVIE,1951,61,drama
tm59356,The Fighter,MOVIE,1952,78,drama
tm131379,Gasoline Alley,MOVIE,1951,76,comedy
tm188888,"Bad, Black & Beautiful",MOVIE,1975,83,action
tm107560,No Substitute for Victory,MOVIE,1970,73,documentation
tm317182,The Ballad of Billie Blue,MOVIE,1972,78,drama
tm50487,"Pier 5, Havana",MOVIE,1959,67,thriller
tm396,Fun and Games,MOVIE,1971,92,drama
tm154808,Wacky Taxi,MOVIE,1972,80,comedy
tm15251,Gamera vs. Zigra,MOVIE,1971,87,scifi
tm261607,"Brother, Cry For Me",MOVIE,1970,92,crime
tm16119,Calcutta 71,MOVIE,1972,116,drama
tm81897,Hell's Belles,MOVIE,1969,95,action
tm104042,Angels Die Hard,MOVIE,1970,86,drama
tm103017,Gamera vs. Jiger,MOVIE,1970,83,scifi
tm105898,Sabaka,MOVIE,1955,77,action
tm137586,Three Husbands,MOVIE,1951,78,romance
tm30777,Gli onorevoli,MOVIE,1963,98,comedy
tm15849,Some of My Best Friends Are...,MOVIE,1971,110,drama
tm188730,Divorce His - Divorce Hers,MOVIE,1973,180,drama
tm85210,Escape from Angola,MOVIE,1976,96,
tm180755,Server Sundaram,MOVIE,1964,165,comedy
tm104834,Eagles Attack At Dawn,MOVIE,1970,90,action
tm300544,Gene Autry and the Mounties,MOVIE,1951,71,western
tm198322,A Tattered Web,MOVIE,1971,76,thriller
tm300565,It’s a Revolution Mother,MOVIE,1969,73,documentation
tm179891,Bullets Don't Argue,MOVIE,1964,89,western
tm108331,Adolf Hitler - My Part in His Downfall,MOVIE,1973,102,comedy
tm30173,Doctor of Doom,MOVIE,1963,80,scifi
tm91843,Bruce Lee Fights Back from the Grave,MOVIE,1976,95,crime
tm194833,Or Iravu,MOVIE,1951,160,drama
tm207288,The Legend of Valentino,MOVIE,1975,100,drama
tm43210,The Young Land,MOVIE,1959,89,western
tm42947,Toto in Madrid,MOVIE,1959,99,comedy
tm103914,Cry Blood Apache,MOVIE,1970,115,western
tm93306,Kentucky Rifle,MOVIE,1956,84,western
tm796870,Secrets of Three Hungry Wives,MOVIE,1978,97,crime
tm103183,The Joe Louis Story,MOVIE,1953,88,drama
tm35499,Gangster Story,MOVIE,1959,65,drama
tm86249,Apache Uprising,MOVIE,1965,90,western
tm79970,The Sweet Sound of Death,MOVIE,1965,88,horror
tm201969,The Night They Took Miss Beautiful,MOVIE,1977,100,drama
tm15500,Vendetta,MOVIE,1971,92,western
tm98761,Silver Dream Racer,MOVIE,1980,111,sport
tm98338,The Violent Years,MOVIE,1956,57,drama
tm132645,The Groom Wore Spurs,MOVIE,1951,80,comedy
tm19184,The Big Chase,MOVIE,1954,60,thriller
tm11697,Uncle Joe Shannon,MOVIE,1978,108,drama
tm13889,I motorizzati,MOVIE,1962,95,comedy
tm81340,Aasai Mugam,MOVIE,1965,157,drama
tm198523,Major Chandrakanth,MOVIE,1966,163,thriller
tm64813,Loan Shark,MOVIE,1952,79,drama
tm183406,The Luck of Ginger Coffey,MOVIE,1964,100,drama
tm12212,Imperial Venus,MOVIE,1962,140,drama
tm214506,Ashite Ashiona,MOVIE,1967,95,comedy
tm80054,Out of It,MOVIE,1969,95,drama
tm125433,Sharks' Treasure,MOVIE,1975,95,action
tm107266,Mixed Company,MOVIE,1974,109,comedy
tm18941,A Real American Hero,MOVIE,1978,94,drama
tm692098,Mitzi,MOVIE,1968,60,comedy
tm105802,The Savage Wild,MOVIE,1970,103,documentation
tm90662,Massacre,MOVIE,1956,76,western
tm102960,The McMasters,MOVIE,1970,90,western
tm61820,Frontier Uprising,MOVIE,1961,68,western
tm77395,The Devil's Eight,MOVIE,1969,97,crime
tm37210,Riot in Juvenile Prison,MOVIE,1959,71,thriller
tm111036,Ginger in the Morning,MOVIE,1973,90,romance
tm90416,Man Beast,MOVIE,1956,62,scifi
tm185947,One Way Pendulum,MOVIE,1965,85,comedy
tm105079,Raiders of the Seven Seas,MOVIE,1953,88,action
tm213701,Son Of The Renegade,MOVIE,1953,56,western
tm90077,The Sharkfighters,MOVIE,1956,73,action
tm10094,Dangerous Charter,MOVIE,1962,76,thriller
tm22063,Monster from the Ocean Floor,MOVIE,1954,64,scifi
tm107179,Mambo,MOVIE,1954,110,drama
tm132020,Whirlwind,MOVIE,1951,70,western
tm58164,Hellgate,MOVIE,1952,87,western
tm84399,"Ebony, Ivory & Jade",MOVIE,1976,76,thriller
tm28102,Love Is a Ball,MOVIE,1963,111,comedy
tm12102,Murder Once Removed,MOVIE,1971,74,drama
tm335552,Rajkumar,MOVIE,1964,178,comedy
tm120932,Gun Duel In Durango,MOVIE,1957,73,western
tm104421,The Tall Texan,MOVIE,1953,84,western
tm184329,Acapulco Gold,MOVIE,1976,105,action
tm50616,The Choppers,MOVIE,1961,66,drama
tm42389,Surrender - Hell!,MOVIE,1959,85,action
tm102056,Mr. Superinvisible,MOVIE,1970,91,scifi
tm102580,Underground,MOVIE,1970,100,thriller
tm105506,The Stranger Who Looks Like Me,MOVIE,1974,74,drama
tm92388,The Black Tent,MOVIE,1956,93,romance
tm101860,Captain Scarlett,MOVIE,1953,75,action
tm225329,"A Sensitive, Passionate Man",MOVIE,1977,98,drama
tm103090,Last of the Pony Riders,MOVIE,1953,58,western
tm183517,Guerillas in Pink Lace,MOVIE,1964,96,action
tm121137,The Dalton Girls,MOVIE,1957,77,western
tm25695,Stolen Hours,MOVIE,1963,97,drama
tm118114,"Totò, Vittorio and the Doctor",MOVIE,1957,98,comedy
tm544335,Dhonni Meye,MOVIE,1975,133,drama
tm229913,Portrait of an Escort,MOVIE,1980,100,drama
tm66698,Barbed Wire,MOVIE,1952,61,western
tm539392,John Brown's Body,MOVIE,1962,90,drama
tm243680,Sunnyside,MOVIE,1979,100,action
tm96039,The Intruder,MOVIE,1956,100,drama
tm120674,Blast-Off Girls,MOVIE,1967,83,drama
tm688483,Mitzi... The First Time,MOVIE,1973,60,comedy
tm69752,Noorie,MOVIE,1979,114,drama
tm136626,Behave Yourself!,MOVIE,1951,81,comedy
tm772961,Pati Patni Aur Woh,MOVIE,1978,141,comedy
tm688690,Hollywood: The Great Stars,MOVIE,1963,51,history
tm188785,Brothers O'Toole,MOVIE,1973,95,western
tm58239,The Planter's Wife,MOVIE,1952,88,drama
tm125974,Zameer,MOVIE,1975,136,drama
tm126684,I Wonder Who's Killing Her Now?,MOVIE,1975,87,comedy
tm307537,I Beheld His Glory,MOVIE,1953,56,family
tm196263,Il padrone e l'operaio,MOVIE,1975,105,comedy
tm120019,Revolt at Fort Laramie,MOVIE,1957,73,western
tm101055,Coach of the Year,MOVIE,1980,90,drama
tm92498,Gallagher: An Uncensored Evening,MOVIE,1980,57,comedy
tm17399,Gamera vs. Viras,MOVIE,1968,81,scifi
tm759691,Uyarntha Manithan,MOVIE,1968,168,drama
tm262196,Suicide Commando,MOVIE,1968,98,action
tm120324,Rajarajan,MOVIE,1957,171,drama
tm260218,Doosara Aadmi,MOVIE,1977,143,drama
tm191188,The Devil and Leroy Bassett,MOVIE,1973,85,action
tm97240,Bandish,MOVIE,1980,151,drama
tm181342,En Kadamai,MOVIE,1964,130,drama
tm134193,The Missouri Traveler,MOVIE,1958,103,western
tm104465,Goldtown Ghost Riders,MOVIE,1953,57,western
tm261128,One Minute Before Death,MOVIE,1972,86,horror
tm66485,The Lady Says No,MOVIE,1952,80,comedy
tm15035,The Windsplitter,MOVIE,1971,100,drama
tm16755,The White Orchid,MOVIE,1954,81,romance
ts132526,Napoleon Hill's Master Key,SHOW,1954,14,documentation
tm322526,Antony Firingee,MOVIE,1967,157,drama
tm589732,Thiruvarul,MOVIE,1975,125,fantasy
tm102099,Captain John Smith and Pocahontas,MOVIE,1953,75,drama
tm87033,House of the Black Death,MOVIE,1965,89,horror
tm112348,Rock 'n' Roll Revue,MOVIE,1955,69,music
tm120978,Guns Don't Argue,MOVIE,1957,92,crime
tm185632,Incident on a Dark Street,MOVIE,1973,96,crime
tm333680,Naanum Oru Penn,MOVIE,1963,155,drama
tm109135,On Top of Old Smoky,MOVIE,1953,59,western
tm772186,Sahodari,MOVIE,1959,175,
tm69799,Night of Red Wine,MOVIE,1966,94,drama
tm104734,Street of Shadows,MOVIE,1953,84,crime
tm227178,The Old West,MOVIE,1952,61,western
tm16695,Face the Music,MOVIE,1954,84,drama
tm87475,The Four Deuces,MOVIE,1976,87,action
tm126700,Little Moon And Jud McGraw,MOVIE,1975,91,western
tm45041,La Cambiale,MOVIE,1959,105,comedy
tm204463,She Waits,MOVIE,1972,74,horror
tm17503,Day of the Wolves,MOVIE,1971,91,drama
tm15579,The Racing Scene,MOVIE,1969,90,documentation
tm72809,Fireball 500,MOVIE,1966,92,action
tm94187,The Brass Legend,MOVIE,1956,79,western
tm136724,Valley of Fire,MOVIE,1951,70,western
tm135045,Mr. Imperium,MOVIE,1951,87,drama
tm96278,Gun Brothers,MOVIE,1956,79,western
tm13488,Bruce Lee The Invincible,MOVIE,1978,92,action
tm10940,They Call It Murder,MOVIE,1971,95,drama
tm99567,Black Angels,MOVIE,1970,87,drama
tm86124,Shadows in an Empty Room,MOVIE,1976,100,thriller
tm740458,The Chinese Caper,MOVIE,1975,90,action
tm23271,Anandha Jodhi,MOVIE,1963,152,drama
tm770073,"Mitzi... What's Hot, What's Not",MOVIE,1978,60,music
tm331415,Prem Nagar,MOVIE,1974,158,romance
tm152689,The Proud and Damned,MOVIE,1972,92,western
tm93565,Wetbacks,MOVIE,1956,89,crime
ts950,Dangerous Assignment,SHOW,1952,27,action
tm342015,Kuladeivam,MOVIE,1956,168,
tm446269,Deya Neya,MOVIE,1963,120,drama
tm85118,Crime and Passion,MOVIE,1976,96,thriller
ts95763,Pinkfong! Halloween Songs,SHOW,1969,1,music
tm99814,Ek Baar Kaho,MOVIE,1980,133,drama
tm98827,Terraces,MOVIE,1977,73,drama
tm152209,Anuraag,MOVIE,1972,125,drama
tm147012,The Loners,MOVIE,1972,79,drama
tm17749,The Lone Gun,MOVIE,1954,90,western
tm139935,St. Benny the Dip,MOVIE,1951,80,comedy
tm56710,The Walking Target,MOVIE,1960,75,crime
tm49988,The Police Dog Story,MOVIE,1961,62,crime
tm105772,Kansas Pacific,MOVIE,1953,73,western
tm154659,"Life Is Tough, Eh Providence?",MOVIE,1972,100,western
tm14949,Black Jesus,MOVIE,1968,89,drama
tm95567,Huk!,MOVIE,1956,84,action
tm105786,Marshal of Cedar Rock,MOVIE,1953,54,western
tm55597,My Outlaw Brother,MOVIE,1951,82,western
tm405975,Lucy's Really Lost Moments,MOVIE,1956,71,comedy
tm56066,Apache Country,MOVIE,1952,62,western
tm101921,Captain Scarface,MOVIE,1953,72,romance
tm15122,Rebellion of the Hanged,MOVIE,1954,83,drama
tm60210,Champ vs. Champ,MOVIE,1980,85,action
ts17884,Blockbusters,SHOW,1980,28,family
tm948826,Ramu,MOVIE,1966,150,drama
tm91599,Mission to Glory: A True Story,MOVIE,1977,116,western
tm87090,Sawan Ki Ghata,MOVIE,1966,136,romance
tm107010,Love Island,MOVIE,1953,66,comedy
tm180897,Pachai Vilakku,MOVIE,1964,155,romance
tm135584,Hills of Utah,MOVIE,1951,70,western
tm107584,Karamoja,MOVIE,1955,63,documentation
tm38318,Secret of Deep Harbor,MOVIE,1961,70,drama
tm122445,Outlaw's Son,MOVIE,1957,88,western
tm320688,Oriental Evil,MOVIE,1952,64,drama
tm62392,Colorado Sundown,MOVIE,1952,67,western
tm190623,Bad Charleston Charlie,MOVIE,1973,91,comedy
tm603067,Amar Saheed Bhagat Singh,MOVIE,1974,131,action
tm243842,Harichandra,MOVIE,1968,158,drama
tm61843,High School Caesar,MOVIE,1960,75,drama
tm599866,Karuppu Panam,MOVIE,1964,129,drama
tm525273,Thai Pirandhal Vazhi Pirakkum,MOVIE,1958,138,
tm10803,Annai,MOVIE,1962,150,drama
tm215776,Texans Never Cry,MOVIE,1951,67,western
tm494520,Kaakum Karangal,MOVIE,1965,140,drama
tm332584,Journey to Freedom,MOVIE,1957,60,drama
tm262810,History of a Scoundrel,MOVIE,1964,85,thriller
tm770166,Annaiyum Pithavum,MOVIE,1969,154,drama
tm189140,Daag,MOVIE,1973,146,romance
tm136650,New Mexico,MOVIE,1951,76,western
tm94497,The Naked Hills,MOVIE,1956,72,western
tm212320,Pack Train,MOVIE,1953,57,western
tm45967,A Bomb Was Stolen,MOVIE,1961,72,scifi
tm688794,Mitzi's 2nd Special,MOVIE,1969,54,
tm11234,Chhoti Bahu,MOVIE,1971,137,drama
tm121704,The Manchu Eagle Murder Caper Mystery,MOVIE,1975,80,comedy
tm120036,Raiders of Old California,MOVIE,1957,72,western
tm224533,Silver Canyon,MOVIE,1951,74,western
tm769574,Bhalu,MOVIE,1980,134,
tm41977,Deiva Piravi,MOVIE,1960,182,drama
tm155308,Empire M,MOVIE,1972,103,drama
tm51301,Noose for a Gunman,MOVIE,1960,69,western
tm768457,Nanak Dukhiya Sub Sansar,MOVIE,1970,135,action
tm106192,Penn,MOVIE,1954,173,drama
tm447135,Hunters of the Deep,MOVIE,1955,64,documentation
tm211121,Untamed Mistress,MOVIE,1956,70,action
tm211136,Wagon Team,MOVIE,1952,61,western
tm232148,Arriba las manos Texano,MOVIE,1969,85,western
tm770081,Mitzi... Zings Into Spring,MOVIE,1977,58,music
tm53797,Gunfighters of Abilene,MOVIE,1960,66,western
tm113008,Visit to a Chief's Son,MOVIE,1974,85,action
tm726354,Naalayak,MOVIE,1979,129,drama
tm526015,Veera Thirumagan,MOVIE,1962,156,
tm348614,Sam Cade,MOVIE,1972,91,
tm206054,Saginaw Trail,MOVIE,1953,56,western
tm682750,Ram Joshi,MOVIE,1974,114,
tm88640,Kuzhandaiyum Deivamum,MOVIE,1965,165,drama
tm69486,Night Stage to Galveston,MOVIE,1952,61,western
tm457278,Mitzi... A Tribute to the American Housewife,MOVIE,1974,58,comedy
tm744752,Mitzi... Roarin' in the 20's,MOVIE,1976,58,music
tm121754,Bhakta Prahlada,MOVIE,1967,156,drama
ts41693,The Kids in the Hall,SHOW,1989,24,comedy
tm163236,The Terminator,MOVIE,1984,108,thriller
tm142562,Field of Dreams,MOVIE,1989,107,fantasy
tm43914,Bull Durham,MOVIE,1988,108,romance
tm134674,Dead Poets Society,MOVIE,1989,128,drama
tm133087,Steel Magnolias,MOVIE,1989,117,drama
tm125764,Thief,MOVIE,1981,123,thriller
tm110805,Platoon,MOVIE,1986,115,action
tm120192,The Color of Money,MOVIE,1986,119,drama
tm63423,Heathers,MOVIE,1989,103,comedy
tm61336,Valley Girl,MOVIE,1983,99,romance
tm117707,Short Circuit,MOVIE,1986,98,comedy
ts21396,Mr. Bean,SHOW,1990,21,comedy
tm137505,Bill & Ted's Excellent Adventure,MOVIE,1989,90,scifi
tm128662,Blow Out,MOVIE,1981,108,thriller
tm175974,Children of the Corn,MOVIE,1984,92,thriller
tm139586,Weekend at Bernie's,MOVIE,1989,97,comedy
tm23147,Over the Top,MOVIE,1987,93,drama
tm20239,"Good Morning, Vietnam",MOVIE,1987,119,comedy
tm68902,Mr. Mom,MOVIE,1983,91,drama
ts24918,He-Man and the Masters of the Universe,SHOW,1983,23,action
tm112013,Highlander,MOVIE,1986,116,fantasy
ts88551,Wallace and Gromit,SHOW,1989,28,
ts39067,Reading Rainbow,SHOW,1983,28,family
tm44008,Porky's,MOVIE,1981,94,comedy
ts21715,Thomas & Friends,SHOW,1984,10,family
tm18681,Hellraiser,MOVIE,1987,93,horror
ts242,Baywatch,SHOW,1989,46,action
tm127028,Taps,MOVIE,1981,126,war
tm138701,Gleaming the Cube,MOVIE,1989,109,crime
tm39579,The Beast of War,MOVIE,1988,111,drama
tm155472,Mermaids,MOVIE,1990,110,drama
tm132406,Black Rain,MOVIE,1989,125,thriller
tm117846,The Golden Child,MOVIE,1986,94,fantasy
tm21727,Some Kind of Wonderful,MOVIE,1987,95,romance
tm126051,On Golden Pond,MOVIE,1981,109,drama
tm119035,River's Edge,MOVIE,1986,99,drama
tm119665,House,MOVIE,1986,93,horror
tm2062,A Chorus Line,MOVIE,1985,112,drama
tm37879,The Beastmaster,MOVIE,1982,118,action
tm116186,Hannah and Her Sisters,MOVIE,1986,107,drama
